City,State,District
Donkamokam,Assam,Karbi Anglong
Doom Dooma,Assam,Tinsukia
Dostpur,Uttar Pradesh,Sultanpur
Dowleswaram,Andhra Pradesh,East Godavari
Dubrajpur,West Bengal,Birbhum
Dudhani,Maharashtra,Solapur
Dudhi,Uttar Pradesh,Sonbhadra
Dugda,Jharkhand,Bokaro
Dulhipur,Uttar Pradesh,Chandauli
Duliajan No.1,Assam,Dibrugarh
Duliajan Oil Town,Assam,Dibrugarh
Dumar Kachhar,Madhya Pradesh,Shahdol
Dumarkunda,Jharkhand,Dhanbad
Dumdum,West Bengal,North Twentyfour Parganas
Dumka,Jharkhand,Dumka
Dumra,Bihar,Sitamarhi
Dumraon,Bihar,Buxar
Dundahera,Haryana,Gurgaon
Dungamal,Orissa,Khordha
Dungargarh,Rajasthan,Churu
Dungarpur,Rajasthan,Dungarpur
Dungra,Gujarat,Valsad
Durg,Chhattisgarh,Durg
Durga Nagar Part-V,Assam,Cachar
Durgapur,West Bengal,Barddhaman
Durgapur,Maharashtra,Chandrapur
Durllabhganj,West Bengal,Medinipur
Duru-Verinag,Jammu & Kashmir,Anantnag
Dusi,Tamil Nadu,Tiruvanamalai
Dwarahat,Uttaranchal,Almora
Dwarka,Gujarat,Jamnagar
Dyane,Maharashtra,Nashik
Edaganasalai,Tamil Nadu,Salem
Edaikodu,Tamil Nadu,Kanniyakumari
Edakalinadu,Tamil Nadu,Kancheepuram
Edappadi,Tamil Nadu,Salem
Edathala,Kerala,Ernakulam
Eddumailaram,Andhra Pradesh,Medak
Egarkunr,Jharkhand,Dhanbad
Egra,West Bengal,Medinipur
Ekambara kuppam,Andhra Pradesh,Chittoor
Ekdil,Uttar Pradesh,Etawah
Eklahare,Maharashtra,Nashik
Eksara,West Bengal,Haora
Elathur,Tamil Nadu,Erode
Elayavoor,Kerala,Kannur
Elayirampannai,Tamil Nadu,Virudhunagar
Ellenabad,Haryana,Sirsa
Eloor,Kerala,Ernakulam
Elumalai,Tamil Nadu,Madurai
Eluru,Andhra Pradesh,West Godavari
English Bazar,West Bengal,Maldah
Eral,Tamil Nadu,Toothukudi
Erandol,Maharashtra,Jalgaon
Eranholi,Kerala,Kannur
Eraniel,Tamil Nadu,Kanniyakumari
Erattupetta,Kerala,Kottayam
Erich,Uttar Pradesh,Jhansi
Eriodu,Tamil Nadu,Dindigul
Erode,Tamil Nadu,Erode
Erumaipatti,Tamil Nadu,Namakkal
Eruvadi,Tamil Nadu,Tirunelveli
Etah,Uttar Pradesh,Etah
Etawah,Uttar Pradesh,Etawah
Ethapur,Tamil Nadu,Salem
Etmadpur,Uttar Pradesh,Agra
Ettayapuram,Tamil Nadu,Toothukudi
Ettimadai,Tamil Nadu,Coimbatore
Ezhudesam,Tamil Nadu,Kanniyakumari
Faizabad,Uttar Pradesh,Faizabad
Faizabad,Uttar Pradesh,Faizabad
Faizganj,Uttar Pradesh,Budaun
Faizpur,Maharashtra,Jalgaon
Falakata,West Bengal,Jalpaiguri
Farah,Uttar Pradesh,Mathura
Farakhpur,Haryana,Yamunanagar
Faridabad,Haryana,Faridabad
Faridkot,Punjab,Faridkot
Faridnagar,Uttar Pradesh,Ghaziabad
Faridpur,Uttar Pradesh,Bareilly
Faridpur,Uttar Pradesh,Bareilly
Fariha,Uttar Pradesh,Firozabad
Farooqnagar,Andhra Pradesh,Mahbubnagar
Farrakka Barrage Township,West Bengal,Murshidabad
Farrukhabad-cum-Fatehgarh,Uttar Pradesh,Farrukhabad
Farrukhnagar,Haryana,Gurgaon
Fatehabad,Haryana,Fatehabad
Fatehabad,Uttar Pradesh,Agra
Fatehganj Pashchimi,Uttar Pradesh,Bareilly
Fatehganj Purvi,Uttar Pradesh,Bareilly
Fatehgarh,Uttar Pradesh,Farrukhabad
Fatehgarh Churian,Punjab,Gurdaspur
Fatehnagar,Rajasthan,Udaipur
Fatehpur,Rajasthan,Sikar
Fatehpur,Uttar Pradesh,Fatehpur
Fatehpur,Uttar Pradesh,Barabanki
Fatehpur Chaurasi,Uttar Pradesh,Unnao
Fatehpur Sikri,Uttar Pradesh,Agra
Fatellapur,West Bengal,Murshidabad
Fatwah,Bihar,Patna
Fazilka,Punjab,Firozpur
Feroke,Kerala,Kozhikode
Ferozepur Jhirka,Haryana,Gurgaon
Fertilzer Corporation of IndiaTownship,Orissa,Anugul
Fiozpur,Punjab,Firozpur
Firozabad,Uttar Pradesh,Firozabad
Firozpur Cantt.,Punjab,Firozpur
Forbesganj,Bihar,Araria
Freelandgunj,Gujarat,Dohad
Frezarpur,Chhattisgarh,Bastar
FRI and College Area,Uttaranchal,Dehradun
G. Udayagiri,Orissa,Kandhamal
G.C.F Jabalpur,Madhya Pradesh,Jabalpur
Gabberia,West Bengal,Haora
Gadag-Betigeri,Karnataka,Gadag
Gadarpur,Uttaranchal,Udham Singh Nagar
Gadarwara,Madhya Pradesh,Narsimhapur
Gadchiroli,Maharashtra,Gadchiroli
Gaddi annaram,Andhra Pradesh,Rangareddi
Gadhada,Gujarat,Bhavnagar
Gadhinglaj,Maharashtra,Kolhapur
Gadhra,Jharkhand,Purbi Singhbhum
Gadwal,Andhra Pradesh,Mahbubnagar
Gagret,Himachal Pradesh,Una
Gairatganj,Madhya Pradesh,Raisen
Gairkata,West Bengal,Jalpaiguri
Gajapathinagaram,Andhra Pradesh,Vizianagaram
Gajendragarh,Karnataka,Gadag
Gajraula,Uttar Pradesh,Jyotiba Phule Nagar
Gajsinghpur,Rajasthan,Ganganagar
Gajularega,Andhra Pradesh,Vizianagaram
Gajuwaka,Andhra Pradesh,Visakhapatnam
Gakulnagar,Tripura,West Tripura
Galiakot,Rajasthan,Dungarpur
Ganapathipuram,Tamil Nadu,Kanniyakumari
Ganaur,Haryana,Sonipat
Gandai,Chhattisgarh,Rajnandgaon
Ganderbal,Jammu & Kashmir,Srinagar
Gandevi,Gujarat,Navsari
Gandhi Nagar(Katpadi Ext.),Tamil Nadu,Vellore
Gandhidham,Gujarat,Kachchh
Gandhigram,Tripura,West Tripura
Gandhinagar,Gujarat,Gandhinagar
Gandhinagar,Maharashtra,Kolhapur
Ganeshpur,Maharashtra,Bhandara
Gangaghat,Uttar Pradesh,Unnao
Gangaikondan,Tamil Nadu,Cuddalore
Gangakhed,Maharashtra,Parbhani
Ganganagar,Rajasthan,Ganganagar
Gangapur,Maharashtra,Aurangabad
Gangapur,Rajasthan,Bhilwara
Gangapur,Uttar Pradesh,Varanasi
Gangapur City,Rajasthan,Sawai Madhopur
Gangarampur,West Bengal,Dakshin Dinajpur
Gangavalli,Tamil Nadu,Salem
Gangawati,Karnataka,Koppal
Gangoh,Uttar Pradesh,Saharanpur
Gangotri,Uttaranchal,Uttarkashi
Gangtok,Sikkim,East
Ganguvarpatti,Tamil Nadu,Theni
Ganj Dundawara,Uttar Pradesh,Etah
Ganj Muradabad,Uttar Pradesh,Unnao
Ganjam,Orissa,Ganjam
Garacharma,Andaman & Nicobar Islands *,Andamans
Garalgachha,West Bengal,Hugli
Garautha,Uttar Pradesh,Jhansi
Gardhiwala,Punjab,Hoshiarpur
Garhakota,Madhya Pradesh,Sagar
Garhi Pukhta,Uttar Pradesh,Muzaffarnagar
Garhi-Malhara,Madhya Pradesh,Chhatarpur
Garhmukteshwar,Uttar Pradesh,Ghaziabad
Garhshanker,Punjab,Hoshiarpur
Garhwa,Jharkhand,Garhwa
Gariadhar,Gujarat,Bhavnagar
Garoth,Madhya Pradesh,Mandsaur
Garshyamnagar,West Bengal,North Twentyfour Parganas
Garulia,West Bengal,North Twentyfour Parganas
Gaura Barhaj,Uttar Pradesh,Deoria
Gaurella,Chhattisgarh,Bilaspur
Gauri Bazar,Uttar Pradesh,Deoria
Gauribidanur,Karnataka,Kolar
Gauripur,Assam,Dhubri
Gausganj,Uttar Pradesh,Kanpur Dehat
Gawan,Uttar Pradesh,Budaun
Gaya,Bihar,Gaya
Gayespur,West Bengal,Nadia
Geedam,Chhattisgarh,Dantewada
Georai,Maharashtra,Bid
Ghagga,Punjab,Patiala
Ghanaur,Punjab,Patiala
Ghansor,Madhya Pradesh,Seoni
Ghantapada,Orissa,Anugul
Gharaunda,Haryana,Karnal
Gharghoda,Chhattisgarh,Raigarh
Gharoli,Delhi *,East
Gharonda Neemka Bangar alias Patpar Ganj,Delhi *,East
Ghatal,West Bengal,Medinipur
Ghatampur,Uttar Pradesh,Kanpur Nagar
Ghatanji,Maharashtra,Yavatmal
Ghatkeser,Andhra Pradesh,Rangareddi
Ghatlodiya,Gujarat,Ahmadabad
Ghatshila,Jharkhand,Purbi Singhbhum
Ghaziabad,Uttar Pradesh,Ghaziabad
Ghazipur,Uttar Pradesh,Ghazipur
Gheora,Delhi *,North West
Ghiraur,Uttar Pradesh,Mainpuri
Ghitorni,Delhi *,South West
Gho Manhasan,Jammu & Kashmir,Jammu
Ghoga,Delhi *,North West
Ghogha,Gujarat,Bhavnagar
Ghoghardiha,Bihar,Madhubani
Ghorabandha,Jharkhand,Purbi Singhbhum
Ghorawal,Uttar Pradesh,Sonbhadra
Ghorsala,West Bengal,Murshidabad
Ghosi,Uttar Pradesh,Mau
Ghosia Bazar,Uttar Pradesh,Sant Ravidas Nagar
Ghoti Budruk,Maharashtra,Nashik
Ghughuli,Uttar Pradesh,Maharajganj
Ghugus,Maharashtra,Chandrapur
Ghulewadi,Maharashtra,Ahmadnagar
Ghumarwin,Himachal Pradesh,Bilaspur
Ghuwara,Madhya Pradesh,Chhatarpur
Gidderbaha,Punjab,Muktsar
Gidi,Jharkhand,Hazaribag
Gingee,Tamil Nadu,Viluppuram
Giridih,Jharkhand,Giridih
Goa Velha,Goa,North Goa
Goaljan,West Bengal,Murshidabad
Goalpara,Assam,Goalpara
Goasafat,West Bengal,Medinipur
Gobardanga,West Bengal,North Twentyfour Parganas
Gobichettipalayam,Tamil Nadu,Erode
Gobindgarh,Punjab,Fatehgarh Sahib
Gobindpur,Jharkhand,Dhanbad
Gobranawapara,Chhattisgarh,Raipur
Gochar,Uttaranchal,Chamoli
Godda,Jharkhand,Godda
Godhar,Jharkhand,Dhanbad
Godhra,Gujarat,Panch Mahals
Godoli,Maharashtra,Satara
Gogaon,Chhattisgarh,Raipur
Gogapur,Madhya Pradesh,Ujjain
Gogri Jamalpur,Bihar,Khagaria
Gohad,Madhya Pradesh,Bhind
Gohana,Haryana,Sonipat
Gohand,Uttar Pradesh,Hamirpur
Gohpur,Assam,Sonitpur
Gokak,Karnataka,Belgaum
Gokak Falls,Karnataka,Belgaum
Gokal Pur,Delhi *,North East
Gokhivare,Maharashtra,Thane
Gokul,Uttar Pradesh,Mathura
Gola Bazar,Uttar Pradesh,Gorakhpur
Gola Gokarannath,Uttar Pradesh,Kheri
Golaghat,Assam,Golaghat
Golokganj,Assam,Dhubri
Gomoh,Jharkhand,Dhanbad
Gonda,Uttar Pradesh,Gonda
Gondal,Gujarat,Rajkot
Gondiya,Maharashtra,Gondiya
Goniana,Punjab,Bathinda
Gonikoppal,Karnataka,Kodagu
Gooty,Andhra Pradesh,Anantapur
Gopalasamudram,Tamil Nadu,Tirunelveli
Gopalganj,Bihar,Gopalganj
Gopalpur,West Bengal,Nadia
Gopalpur,Orissa,Ganjam
Gopamau,Uttar Pradesh,Hardoi
Gopiganj,Uttar Pradesh,Sant Ravidas Nagar
Gopinathpur,West Bengal,Barddhaman
Gora Bazar,West Bengal,Murshidabad
Gorah Salathian,Jammu & Kashmir,Jammu
Gorakhpur,Uttar Pradesh,Gorakhpur
Goraya,Punjab,Jalandhar
Goredi Chancha,Rajasthan,Nagaur
Goregaon,Maharashtra,Raigarh
Gormi,Madhya Pradesh,Bhind
Gosainganj,Uttar Pradesh,Lucknow
Gosainganj,Uttar Pradesh,Faizabad
Gossaigaon,Assam,Kokrajhar
Gota,Gujarat,Ahmadabad
Gothra,Rajasthan,Jhunjhunun
Gottikere,Karnataka,Bangalore
Goundampalayam,Tamil Nadu,Coimbatore
Govardhan,Uttar Pradesh,Mathura
Govindgarh,Rajasthan,Alwar
Govindgarh,Madhya Pradesh,Rewa
Greater Mumbai,Maharashtra,Mumbai (Suburban) and Mumbai
GSFC Complex INA,Gujarat,Vadodara
Gua,Jharkhand,Pashchimi Singhbhum
Gubbi,Karnataka,Tumkur
Gudalur,Tamil Nadu,The Nilgiris
Gudalur,Tamil Nadu,Coimbatore
Gudalur,Tamil Nadu,Theni
Gudari,Orissa,Rayagada
Gudibanda,Karnataka,Kolar
Gudivada,Andhra Pradesh,Visakhapatnam
Gudivada,Andhra Pradesh,Krishna
Gudiyatham,Tamil Nadu,Vellore
Gudur,Andhra Pradesh,Nellore
Guhagar,Maharashtra,Ratnagiri
Guirim,Goa,North Goa
Gulabpura,Rajasthan,Bhilwara
Gulaothi,Uttar Pradesh,Bulandshahr
Gularia Bhindara,Uttar Pradesh,Pilibhit
Gulariya,Uttar Pradesh,Budaun
Gulbarga,Karnataka,Gulbarga
Guledgudda,Karnataka,Bagalkot
Gulmarg,Jammu & Kashmir,Baramula
Guma,West Bengal,North Twentyfour Parganas
Gumia,Jharkhand,Bokaro
Gumla,Jharkhand,Lohardaga
Gummidipoondi,Tamil Nadu,Thiruvallur
Guna,Madhya Pradesh,Guna
Gundlupet,Karnataka,Chamarajanagar
Gunnaur,Uttar Pradesh,Budaun
Guntakal,Andhra Pradesh,Anantapur
Guntur,Andhra Pradesh,Guntur
Gunupur,Orissa,Rayagada
Gurdaspur,Punjab,Gurdaspur
Gurgaon,Haryana,Gurgaon
Gurgaon Rural,Haryana,Gurgaon
Gurh,Madhya Pradesh,Rewa
Guriahati,West Bengal,Koch Bihar
Gurmatkal,Karnataka,Gulbarga
Gursahaiganj,Uttar Pradesh,Kannauj
Gursarai,Uttar Pradesh,Jhansi
Guru Har Sahai,Punjab,Firozpur
Guruvayoor,Kerala,Thrissur
Guskara,West Bengal,Barddhaman
Guwahati,Assam,Kamrup
Gwalior,Madhya Pradesh,Gwalior
Gyalshing,Sikkim,West
Gyanpur,Uttar Pradesh,Sant Ravidas Nagar
Habibpur,Bihar,Bhagalpur
Habra,West Bengal,North Twentyfour Parganas
Hadgaon,Maharashtra,Nanded
Hafizpur,Uttar Pradesh,Azamgarh
Haflong,Assam,North Cachar Hills
Haidergarh,Uttar Pradesh,Barabanki
Hailakandi,Assam,Hailakandi
Haileymandi,Haryana,Gurgaon
Hajan,Jammu & Kashmir,Baramula
Hajipur,Punjab,Hoshiarpur
Hajipur,Bihar,Vaishali
Hajira INA,Gujarat,Surat
Haldaur,Uttar Pradesh,Bijnor
Haldia,West Bengal,Medinipur
Haldibari,West Bengal,Koch Bihar
Haldwani-cum-Kathgodam,Uttaranchal,Nainital
Halisahar,West Bengal,North Twentyfour Parganas
Haliyal,Karnataka,Uttara Kannada
Halol,Gujarat,Panch Mahals
Haludbani,Jharkhand,Purbi Singhbhum
Halvad,Gujarat,Surendranagar
Hamirpur,Himachal Pradesh,Hamirpur
Hamirpur,Uttar Pradesh,Hamirpur
Hamren,Assam,Karbi Anglong
Handia,Uttar Pradesh,Allahabad
Handiaya,Punjab,Sangrur
Handwara,Jammu & Kashmir,Kupwara
Hangal,Karnataka,Haveri
Hansi,Haryana,Hisar
Hanumana,Madhya Pradesh,Rewa
Hanumangarh,Rajasthan,Hanumangarh
Hanumanthampatti,Tamil Nadu,Theni
Haora,West Bengal,Haora
Hapur,Uttar Pradesh,Ghaziabad
Harda,Madhya Pradesh,Harda
Hardoi,Uttar Pradesh,Hardoi
Harduaganj,Uttar Pradesh,Aligarh
Hardwar,Uttaranchal,Hardwar
Hargaon,Uttar Pradesh,Sitapur
Harharia Chak,West Bengal,Murshidabad
Hariana,Punjab,Hoshiarpur
Harihar,Karnataka,Davanagere
Hariharpur,Uttar Pradesh,Sant Kabir Nagar
Harij,Gujarat,Patan
Haripur,West Bengal,Barddhaman
Harishpur,West Bengal,Barddhaman
Harpalpur,Madhya Pradesh,Chhatarpur
Harpanahalli,Karnataka,Davanagere
Harrai,Madhya Pradesh,Chhindwara
Harraiya,Uttar Pradesh,Basti
Harsud,Madhya Pradesh,East Nimar
Harur,Tamil Nadu,Dharmapuri
Harveypatti,Tamil Nadu,Madurai
Hasanpur,Uttar Pradesh,Jyotiba Phule Nagar
Hasayan,Uttar Pradesh,Hathras
Hassan,Karnataka,Hassan
Hassanpur,Haryana,Faridabad
Hastinapur,Uttar Pradesh,Meerut
Hastsal,Delhi *,West
Hata,Uttar Pradesh,Kushinagar
Hatgachha,West Bengal,Haora
Hathin,Haryana,Faridabad
Hathras,Uttar Pradesh,Hathras
Hatibandha,Orissa,Sundargarh
Hatkachora,Chhattisgarh,Bastar
Hatod,Madhya Pradesh,Indore
Hatpipalya,Madhya Pradesh,Dewas
Hatsimla,West Bengal,Barddhaman
Hatta,Madhya Pradesh,Damoh
Hatti,Karnataka,Raichur
Hatti Gold Mines,Karnataka,Raichur
Haveri,Karnataka,Haveri
Hazaribag,Jharkhand,Hazaribag
Hebbagodi,Karnataka,Bangalore
Hebbalu,Karnataka,Mysore
Heggadadevanakote,Karnataka,Mysore
Herbertpur,Uttaranchal,Dehradun
Heriok,Manipur,Thoubal
Herohalli,Karnataka,Bangalore
Hesla,Jharkhand,Hazaribag
Highways,Tamil Nadu,Theni
Hijuli,West Bengal,Puruliya
Hilsa,Bihar,Nalanda
Himatnagar,Gujarat,Sabar Kantha
Hindalgi,Karnataka,Belgaum
Hindaun,Rajasthan,Karauli
Hindoria,Madhya Pradesh,Damoh
Hindupur,Andhra Pradesh,Anantapur
Hindustan Paper Corporation Ltd. Township Area Panchgram,Assam,Hailakandi
Hindusthan Cables Town,West Bengal,Barddhaman
Hinganghat,Maharashtra,Wardha
Hingoli,Maharashtra,Hingoli
Hinjilicut,Orissa,Ganjam
Hirakud,Orissa,Sambalpur
Hiranagar,Jammu & Kashmir,Kathua
Hirapur,Madhya Pradesh,Balaghat
Hirekerur,Karnataka,Haveri
Hiriyur,Karnataka,Chitradurga
Hisar,Haryana,Hisar
Hisua,Bihar,Nawada
Hnahthial,Mizoram,Lunglei
Hodal,Haryana,Faridabad
Hojai,Assam,Nagaon
Holalkere,Karnataka,Chitradurga
Holenarsipur,Karnataka,Hassan
Homnabad,Karnataka,Bidar
Honavar,Karnataka,Uttara Kannada
Honnali,Karnataka,Davanagere
Hoovina Hadagalli,Karnataka,Bellary
Hosabettu,Kerala,Kasaragod
Hosanagara,Karnataka,Shimoga
Hosdurga,Karnataka,Chitradurga
Hoshangabad,Madhya Pradesh,Hoshangabad
Hoshiarpur,Punjab,Hoshiarpur
Hoskote,Karnataka,Bangalore Rural
Hospet,Karnataka,Bellary
Hosur,Tamil Nadu,Dharmapuri
Howli,Assam,Barpeta
Howraghat,Assam,Karbi Anglong
Hubbathala,Tamil Nadu,The Nilgiris
Hubli-Dharwad,Karnataka,Dharwad
Hugli-Chinsurah,West Bengal,Hugli
Hukeri,Karnataka,Belgaum
Huligal,Tamil Nadu,The Nilgiris
Hunasamaranahalli,Karnataka,Bangalore
Hungund,Karnataka,Bagalkot
Hunsur,Karnataka,Mysore
Hupari,Maharashtra,Kolhapur
Hussainabad,Jharkhand,Palamu
Hussainpur,Punjab,Kapurthala
Hyderabad,Uttar Pradesh,Unnao
Hyderabad M.Corp,Andhra Pradesh,Hyderabad and Rangareddi
Ibrahimpur,Uttar Pradesh,Azamgarh
Ichalkaranji,Maharashtra,Kolhapur
Ichchapuram,Andhra Pradesh,Srikakulam
Ichchhapor,Gujarat,Surat
Ichhapur Defence Estate,West Bengal,North Twentyfour Parganas
Ichhawar,Madhya Pradesh,Sehore
Idar,Gujarat,Sabar Kantha
Idikarai,Tamil Nadu,Coimbatore
Idukki Township,Kerala,Idukki
Igatpuri,Maharashtra,Nashik
Iglas,Uttar Pradesh,Aligarh
Ikauna,Uttar Pradesh,Shrawasti
Iklehra,Madhya Pradesh,Chhindwara
Ilampillai,Tamil Nadu,Salem
Ilanji,Tamil Nadu,Tirunelveli
Ilkal,Karnataka,Bagalkot
Iltifatganj Bazar,Uttar Pradesh,Ambedaker Nagar
Iluppaiyurani,Tamil Nadu,Toothukudi
Iluppur,Tamil Nadu,Pudukkottai
Imphal,Manipur,Imphal West & Imphal East
Inam Karur,Tamil Nadu,Kapur
Indapur,Maharashtra,Pune
Indergarh,Madhya Pradesh,Datia
Indi,Karnataka,Bijapur
"Indian Telephone Industry, Mankapur (Sp. Village)",Uttar Pradesh,Gonda
Indore,Madhya Pradesh,Indore
Indragarh,Rajasthan,Bundi
Indranagar,Tripura,West Tripura
Indri,Haryana,Karnal
Injambakkam,Tamil Nadu,Kancheepuram
Iringaprom,Kerala,Thrissur
Irinjalakuda,Kerala,Thrissur
Iriveri,Kerala,Kannur
Irugur,Tamil Nadu,Coimbatore
Isagarh,Madhya Pradesh,Guna
Islamnagar,Uttar Pradesh,Budaun
Islampur,West Bengal,Uttar Dinajpur
Islampur,Bihar,Nalanda
Isnapur,Andhra Pradesh,Medak
Isri,Jharkhand,Giridih
Itanagar,Arunachal Pradesh,Papum Pare
Itarsi,Madhya Pradesh,Hoshangabad
Itaunja,Uttar Pradesh,Lucknow
Jabalpur,Madhya Pradesh,Jabalpur
Jabalpur Cantt.,Madhya Pradesh,Jabalpur
Jadugora,Jharkhand,Purbi Singhbhum
Jafarabad,Uttar Pradesh,Jaunpur
Jafarpur,West Bengal,North Twentyfour Parganas
Jaffrabad,Delhi *,North East
Jaffrabad,Tamil Nadu,Vellore
Jafrabad,Gujarat,Amreli
Jagadanandapur,West Bengal,Nadia
Jagadhri,Haryana,Yamunanagar
Jagadishpur,West Bengal,Haora
Jagalur,Karnataka,Davanagere
Jagathala,Tamil Nadu,The Nilgiris
Jagatsinghapur,Orissa,Jagatsinghapur
Jagdalpur,Chhattisgarh,Bastar
Jagdishpur,Bihar,Bhojpur
Jaggayyapet,Andhra Pradesh,Krishna
Jagiroad,Assam,Marigaon
Jagner,Uttar Pradesh,Agra
Jagraon,Punjab,Ludhiana
Jagtaj,West Bengal,Murshidabad
Jagtial,Andhra Pradesh,Karimnagar
Jahanabad,Uttar Pradesh,Pilibhit
Jahangirabad,Uttar Pradesh,Bulandshahr
Jahangirpur,Uttar Pradesh,Gautam Buddha Nagar
Jahazpur,Rajasthan,Bhilwara
Jainagar,Bihar,Madhubani
Jaipur,Rajasthan,Jaipur
Jairampur,Arunachal Pradesh,Changlang
Jais,Uttar Pradesh,Rae Bareli
Jaisalmer,Rajasthan,Jaisalmer
Jaisinghnagar,Madhya Pradesh,Shahdol
Jaitaran,Rajasthan,Pali
Jaithara,Uttar Pradesh,Etah
Jaithari,Madhya Pradesh,Shahdol
Jaitu,Punjab,Faridkot
Jaitwara,Madhya Pradesh,Satna
Jajapur,Orissa,Jajapur
Jakhal Mandi,Haryana,Fatehabad
Jala Kendua,West Bengal,Haora
Jalakandapuram,Tamil Nadu,Salem
Jalalabad,Uttar Pradesh,Muzaffarnagar
Jalalabad,Uttar Pradesh,Bijnor
Jalalabad,Punjab,Firozpur
Jalalabad,Uttar Pradesh,Shahjahanpur
Jalali,Uttar Pradesh,Aligarh
Jalalpore,Gujarat,Navsari
Jalalpur,Uttar Pradesh,Ambedaker Nagar
Jalandhar,Punjab,Jalandhar
Jalandhar Cantt.,Punjab,Jalandhar
Jalaun,Uttar Pradesh,Jalaun
Jalda,Orissa,Sundargarh
Jalesar,Uttar Pradesh,Etah
Jaleswar,Orissa,Baleshwar
Jalgaon,Maharashtra,Jalgaon
Jalgaon,Maharashtra,Ratnagiri
Jalgaon (Jamod),Maharashtra,Buldana
Jalladiampet,Tamil Nadu,Kancheepuram
Jallaram Kamanpur,Andhra Pradesh,Karimnagar
Jalna,Maharashtra,Jalna
Jalor,Rajasthan,Jalor
Jalpaiguri,West Bengal,Jalpaiguri
Jam Jodhpur,Gujarat,Jamnagar
Jamadoba,Jharkhand,Dhanbad
Jamai,Madhya Pradesh,Chhindwara
Jamalpur,Bihar,Munger
Jambai,Tamil Nadu,Erode
Jambusar,Gujarat,Bharuch
Jamhaur,Bihar,Aurangabad
Jamkhandi,Karnataka,Bagalkot
Jamkhed,Maharashtra,Ahmadnagar
Jammalamadugu,Andhra Pradesh,Cuddapah
Jammu,Jammu & Kashmir,Jammu
Jammu Cantonment,Jammu & Kashmir,Jammu
Jamnagar,Gujarat,Jamnagar
Jamshedpur,Jharkhand,Purbi Singhbhum
Jamshila,Uttar Pradesh,Sonbhadra
Jamtara,Jharkhand,Dumka
Jamui,Bihar,Jamui
Jamul,Chhattisgarh,Durg
Jamuria,West Bengal,Barddhaman
Janakpur Road,Bihar,Sitamarhi
Jandiala,Punjab,Amritsar
Jandiala,Punjab,Jalandhar
Jangaon,Andhra Pradesh,Warangal
Jangipur,West Bengal,Murshidabad
Jangipur,Uttar Pradesh,Ghazipur
Jansath,Uttar Pradesh,Muzaffarnagar
Jaora,Madhya Pradesh,Ratlam
Jaridih Bazar,Jharkhand,Bokaro
Jarjapupeta,Andhra Pradesh,Vizianagaram
Jarwal,Uttar Pradesh,Bahraich
Jasdan,Gujarat,Rajkot
Jashpur nagar,Chhattisgarh,Jashpur
Jasidih,Jharkhand,Deoghar
Jaspur,Uttaranchal,Udham Singh Nagar
Jasrana,Uttar Pradesh,Firozabad
Jaswantnagar,Uttar Pradesh,Etawah
Jata Chhapar,Madhya Pradesh,Chhindwara
Jatani,Orissa,Khordha
Jatara,Madhya Pradesh,Tikamgarh
Jatari,Uttar Pradesh,Aligarh
Jaunpur,Uttar Pradesh,Jaunpur
Jawad,Madhya Pradesh,Neemuch
Jawaharnagar (Gujarat Refinery),Gujarat,Vadodara
Jawai,Meghalaya,Jaintia Hills
Jawalamukhi,Himachal Pradesh,Kangra
Jawar,Madhya Pradesh,Sehore
Jawhar,Maharashtra,Thane
Jayankondam,Tamil Nadu,Ariyalur
Jaygaon,West Bengal,Jalpaiguri
Jaynagar Mazilpur,West Bengal,South Twentyfour Parganas
Jaysingpur,Maharashtra,Kolhapur
Jehanabad,Bihar,Jehanabad
Jejuri,Maharashtra,Pune
Jemari,West Bengal,Barddhaman
Jemari (J.K. Nagar Township),West Bengal,Barddhaman
Jena,Jharkhand,Bokaro
Jeron Khalsa,Madhya Pradesh,Tikamgarh
Jetia,West Bengal,North Twentyfour Parganas
Jetpur Navagadh,Gujarat,Rajkot
Jevargi,Karnataka,Gulbarga
Jewar,Uttar Pradesh,Gautam Buddha Nagar
Jeypur,Orissa,Koraput
Jhabrera,Uttaranchal,Hardwar
Jhabua,Madhya Pradesh,Jhabua
Jhagrakhand,Chhattisgarh,Koriya
Jhajha,Bihar,Jamui
Jhajjar,Haryana,Jhajjar
Jhalawar,Rajasthan,Jhalawar
Jhalda,West Bengal,Puruliya
Jhalrapatan,Rajasthan,Jhalawar
Jhalu,Uttar Pradesh,Bijnor
Jhanjharpur,Bihar,Madhubani
Jhansi,Uttar Pradesh,Jhansi
Jhansi,Uttar Pradesh,Jhansi
Jhansi Rly. Settlement,Uttar Pradesh,Jhansi
Jhargram,West Bengal,Medinipur
Jharia,Jharkhand,Dhanbad
Jharia Khas,Jharkhand,Dhanbad
Jharoda Majra Burari,Delhi *,North
Jharsuguda,Orissa,Jharsuguda
Jhinjhak,Uttar Pradesh,Kanpur Dehat
Jhinjhana,Uttar Pradesh,Muzaffarnagar
Jhinkpani,Jharkhand,Pashchimi Singhbhum
Jhorhat,West Bengal,Haora
Jhumpura,Orissa,Kendujhar
Jhumri Tilaiya,Jharkhand,Kodarma
Jhundpura,Madhya Pradesh,Morena
Jhunjhunun,Rajasthan,Jhunjhunun
Jhusi,Uttar Pradesh,Allahabad
Jhusi Kohna,Uttar Pradesh,Allahabad
Jiaganj Azimganj,West Bengal,Murshidabad
Jind,Haryana,Jind
